[1, 1, [2, 1], [2, 2], [1, 2]]
[28, 1, [0, 4], [0, 5], [1, 5]]
[28, 2, [0, 0], [1, 0], [2, 0]]
[28, 3, [0, 1], [0, 2], [1, 2]]
[28, 4, [1, 1], [2, 1], [2, 2]]
[28, 5, [0, 3], [1, 3], [1, 4]]
[28, 6, [2, 3], [2, 4], [2, 5]]
[29, 1, [0, 4], [0, 5], [1, 5]]
[29, 2, [0, 0], [1, 0], [2, 0]]
[29, 3, [0, 1], [1, 1], [2, 1]]
[29, 4, [0, 2], [1, 2], [2, 2]]
[29, 5, [0, 3], [1, 3], [1, 4]]
[29, 6, [2, 3], [2, 4], [2, 5]]
[30, 1, [1, 4], [2, 4], [2, 5]]
[30, 2, [0, 0], [1, 0], [2, 0]]
[30, 3, [0, 1], [0, 2], [0, 3]]
[30, 4, [1, 1], [1, 2], [1, 3]]
[30, 5, [2, 1], [2, 2], [2, 3]]
[30, 6, [0, 4], [0, 5], [1, 5]]
[31, 1, [1, 4], [2, 4], [2, 5]]
[31, 2, [0, 0], [0, 1], [1, 1]]
[31, 3, [1, 0], [2, 0], [2, 1]]
[31, 4, [0, 2], [0, 3], [1, 3]]
[31, 5, [1, 2], [2, 2], [2, 3]]
[31, 6, [0, 4], [0, 5], [1, 5]]
[32, 1, [0, 5], [1, 5], [2, 5]]
[32, 2, [0, 0], [1, 0], [1, 1]]
[32, 3, [2, 0], [2, 1], [2, 2]]
[32, 4, [0, 1], [0, 2], [1, 2]]
[32, 5, [0, 3], [0, 4], [1, 4]]
[32, 6, [1, 3], [2, 3], [2, 4]]
[33, 1, [0, 5], [1, 5], [1, 4]]
[33, 2, [0, 1], [0, 0], [1, 0]]
[33, 3, [2, 0], [2, 1], [2, 2]]
[33, 4, [1, 1], [1, 2], [1, 3]]
[33, 5, [0, 2], [0, 3], [0, 4]]
[33, 6, [2, 3], [2, 4], [2, 5]]
[34, 1, [0, 4], [0, 5], [1, 5]]
[34, 2, [0, 0], [0, 1], [1, 1]]
[34, 3, [1, 0], [2, 0], [2, 1]]
[34, 4, [0, 2], [1, 2], [2, 2]]
[34, 5, [0, 3], [1, 3], [1, 4]]
[34, 6, [2, 3], [2, 4], [2, 5]]
[35, 1, [1, 4], [2, 4], [2, 5]]
[35, 2, [0, 0], [1, 0], [2, 0]]
[35, 3, [0, 1], [1, 1], [2, 1]]
[35, 4, [0, 2], [1, 2], [2, 2]]
[35, 5, [0, 3], [1, 3], [2, 3]]
[35, 6, [0, 4], [0, 5], [1, 5]]
[36, 1, [0, 4], [0, 5], [1, 5]]
[36, 2, [0, 0], [1, 0], [2, 0]]
[36, 3, [1, 1], [0, 1], [0, 2]]
[36, 4, [2, 1], [2, 2], [1, 2]]
[36, 5, [0, 3], [1, 3], [1, 4]]
[36, 6, [2, 3], [2, 4], [2, 5]]
[37, 1, [0, 5], [1, 5], [2, 5]]
[37, 2, [0, 0], [0, 1], [1, 1]]
[37, 3, [1, 0], [2, 0], [2, 1]]
[37, 4, [1, 2], [0, 2], [0, 3]]
[37, 5, [2, 2], [2, 3], [1, 3]]
[37, 6, [0, 4], [1, 4], [2, 4]]
[38, 1, [0, 5], [1, 5], [2, 5]]
[38, 2, [0, 0], [0, 1], [0, 2]]
[38, 3, [1, 1], [1, 2], [1, 0]]
[38, 4, [2, 0], [2, 1], [2, 2]]
[38, 5, [0, 3], [0, 4], [1, 4]]
[38, 6, [1, 3], [2, 3], [2, 4]]
[39, 1, [2, 4], [1, 5], [2, 5]]
[39, 2, [0, 0], [0, 1], [0, 2]]
[39, 3, [1, 0], [1, 1], [2, 0]]
[39, 4, [2, 1], [2, 2], [2, 3]]
[39, 5, [0, 3], [1, 3], [1, 2]]
[39, 6, [0, 4], [0, 5], [1, 4]]
[40, 1, [0, 5], [1, 5], [2, 5]]
[40, 2, [0, 0], [1, 0], [2, 0]]
[40, 3, [0, 1], [1, 1], [0, 2]]
[40, 4, [2, 1], [2, 2], [1, 2]]
[40, 5, [0, 3], [1, 3], [0, 4]]
[40, 6, [2, 3], [2, 4], [1, 4]]
[41, 1, [0, 5], [1, 5], [2, 5]]
[41, 2, [0, 0], [1, 0], [2, 0]]
[41, 3, [0, 1], [1, 1], [2, 1]]
[41, 4, [0, 2], [0, 3], [0, 4]]
[41, 5, [1, 2], [1, 3], [1, 4]]
[41, 6, [2, 2], [2, 3], [2, 4]]
[42, 1, [1, 4], [2, 4], [2, 5]]
[42, 2, [0, 0], [1, 0], [2, 0]]
[42, 3, [0, 1], [0, 2], [0, 3]]
[42, 4, [1, 1], [1, 2], [2, 1]]
[42, 5, [1, 3], [2, 3], [2, 2]]
[42, 6, [0, 4], [0, 5], [1, 5]]
[43, 1, [0, 5], [1, 5], [2, 5]]
[43, 2, [0, 0], [0, 1], [1, 1]]
[43, 3, [1, 0], [2, 0], [2, 1]]
[43, 4, [0, 2], [0, 3], [0, 4]]
[43, 5, [2, 2], [1, 2], [1, 3]]
[43, 6, [2, 3], [2, 4], [1, 4]]
[44, 1, [1, 4], [1, 5], [2, 5]]
[44, 2, [0, 0], [0, 1], [0, 2]]
[44, 3, [1, 0], [1, 1], [1, 2]]
[44, 4, [2, 0], [2, 1], [2, 2]]
[44, 5, [0, 3], [0, 4], [0, 5]]
[44, 6, [1, 3], [2, 3], [2, 4]]
[45, 1, [1, 4], [2, 4], [2, 5]]
[45, 2, [0, 0], [0, 1], [1, 1]]
[45, 3, [1, 0], [2, 0], [2, 1]]
[45, 4, [0, 2], [1, 2], [2, 2]]
[45, 5, [0, 3], [1, 3], [2, 3]]
[45, 6, [0, 4], [0, 5], [1, 5]]
[46, 1, [0, 5], [1, 5], [2, 5]]
[46, 2, [0, 0], [1, 0], [2, 0]]
[46, 3, [0, 1], [1, 1], [2, 1]]
[46, 4, [0, 2], [1, 2], [0, 3]]
[46, 5, [1, 3], [2, 3], [2, 2]]
[46, 6, [0, 4], [1, 4], [2, 4]]
[47, 1, [1, 5], [2, 5], [2, 4]]
[47, 2, [0, 0], [1, 0], [2, 0]]
[47, 3, [0, 1], [0, 2], [0, 3]]
[47, 4, [1, 1], [2, 1], [2, 2]]
[47, 5, [1, 2], [1, 3], [2, 3]]
[47, 6, [0, 4], [1, 4], [0, 5]]
[48, 1, [1, 4], [2, 4], [2, 5]]
[48, 2, [0, 0], [1, 0], [0, 1]]
[48, 3, [1, 1], [2, 1], [2, 0]]
[48, 4, [0, 2], [1, 2], [0, 3]]
[48, 5, [1, 3], [2, 3], [2, 2]]
[48, 6, [0, 4], [0, 5], [1, 5]]
[49, 1, [1, 4], [1, 5], [0, 5]]
[49, 2, [0, 0], [0, 1], [0, 2]]
[49, 3, [1, 0], [2, 0], [1, 1]]
[49, 4, [1, 2], [2, 1], [2, 2]]
[49, 5, [1, 3], [0, 3], [0, 4]]
[49, 6, [2, 3], [2, 4], [2, 5]]
[50, 1, [2, 3], [2, 4], [2, 5]]
[50, 2, [0, 0], [1, 0], [2, 0]]
[50, 3, [0, 1], [1, 1], [0, 2]]
[50, 4, [1, 2], [2, 2], [2, 1]]
[50, 5, [0, 3], [0, 4], [0, 5]]
[50, 6, [1, 3], [1, 4], [1, 5]]
[51, 1, [1, 5], [2, 4], [2, 5]]
[51, 2, [0, 0], [0, 1], [0, 2]]
[51, 3, [1, 0], [2, 0], [2, 1]]
[51, 4, [1, 1], [1, 2], [2, 2]]
[51, 5, [0, 3], [0, 4], [0, 5]]
[51, 6, [1, 3], [2, 3], [1, 4]]
[52, 1, [1, 5], [2, 4], [2, 5]]
[52, 2, [0, 0], [1, 0], [2, 0]]
[52, 3, [0, 1], [1, 1], [2, 1]]
[52, 4, [0, 2], [1, 2], [2, 2]]
[52, 5, [0, 3], [1, 3], [2, 3]]
[52, 6, [0, 4], [0, 5], [1, 4]]
[53, 1, [2, 4], [2, 5], [1, 5]]
[53, 2, [0, 0], [1, 0], [2, 0]]
[53, 3, [1, 1], [2, 1], [2, 2]]
[53, 4, [0, 1], [0, 2], [1, 2]]
[53, 5, [0, 3], [0, 4], [0, 5]]
[53, 6, [1, 3], [1, 4], [2, 3]]
[54, 1, [0, 5], [1, 5], [2, 5]]
[54, 2, [1, 0], [0, 0], [0, 1]]
[54, 3, [2, 0], [2, 1], [1, 1]]
[54, 4, [0, 2], [0, 3], [1, 3]]
[54, 5, [1, 2], [2, 2], [2, 3]]
[54, 6, [0, 4], [1, 4], [2, 4]]
[55, 1, [0, 5], [1, 5], [2, 5]]
[55, 2, [0, 0], [0, 1], [0, 2]]
[55, 3, [1, 0], [1, 1], [1, 2]]
[55, 4, [2, 0], [2, 1], [2, 2]]
[55, 5, [0, 3], [0, 4], [1, 3]]
[55, 6, [2, 3], [1, 4], [2, 4]]
[56, 1, [0, 4], [0, 5], [1, 5]]
[56, 2, [0, 0], [1, 0], [1, 1]]
[56, 3, [2, 0], [2, 1], [2, 2]]
[56, 4, [0, 1], [0, 2], [0, 3]]
[56, 5, [1, 2], [1, 3], [2, 3]]
[56, 6, [2, 4], [2, 5], [1, 4]]
[57, 1, [0, 5], [1, 5], [2, 5]]
[57, 2, [0, 0], [1, 0], [2, 0]]
[57, 3, [0, 1], [0, 2], [1, 2]]
[57, 4, [1, 1], [2, 1], [2, 2]]
[57, 5, [0, 3], [0, 4], [1, 4]]
[57, 6, [1, 3], [2, 3], [2, 4]]
[58, 1, [0, 5], [1, 5], [2, 5]]
[58, 2, [0, 0], [1, 0], [2, 0]]
[58, 3, [0, 1], [1, 1], [2, 1]]
[58, 4, [0, 2], [1, 2], [2, 2]]
[58, 5, [0, 3], [1, 3], [2, 3]]
[58, 6, [0, 4], [1, 4], [2, 4]]
[59, 1, [2, 4], [2, 5], [1, 5]]
[59, 2, [0, 0], [1, 0], [2, 0]]
[59, 3, [0, 1], [1, 1], [1, 2]]
[59, 4, [2, 1], [2, 2], [2, 3]]
[59, 5, [0, 2], [0, 3], [1, 3]]
[59, 6, [0, 5], [0, 4], [1, 4]]
[60, 1, [0, 5], [1, 5], [2, 5]]
[60, 2, [1, 0], [0, 0], [0, 1]]
[60, 3, [2, 0], [2, 1], [1, 1]]
[60, 4, [0, 2], [1, 2], [1, 3]]
[60, 5, [2, 2], [2, 3], [2, 4]]
[60, 6, [0, 3], [0, 4], [1, 4]]
[61, 1, [1, 4], [1, 5], [0, 5]]
[61, 2, [0, 0], [0, 1], [0, 2]]
[61, 3, [1, 0], [1, 1], [1, 2]]
[61, 4, [2, 0], [2, 1], [2, 2]]
[61, 5, [1, 3], [0, 3], [0, 4]]
[61, 6, [2, 3], [2, 4], [2, 5]]
[62, 1, [1, 5], [2, 5], [2, 4]]
[62, 2, [0, 0], [1, 0], [0, 1]]
[62, 3, [1, 1], [2, 1], [2, 0]]
[62, 4, [0, 2], [1, 2], [2, 2]]
[62, 5, [0, 3], [1, 3], [2, 3]]
[62, 6, [0, 4], [1, 4], [0, 5]]
[63, 1, [0, 5], [1, 5], [2, 5]]
[63, 2, [0, 0], [1, 0], [2, 0]]
[63, 3, [0, 1], [1, 1], [2, 1]]
[63, 4, [0, 2], [0, 3], [1, 3]]
[63, 5, [1, 2], [2, 2], [2, 3]]
[63, 6, [0, 4], [1, 4], [2, 4]]
[64, 1, [1, 4], [2, 4], [2, 5]]
[64, 2, [0, 0], [1, 0], [2, 0]]
[64, 3, [1, 1], [0, 1], [0, 2]]
[64, 4, [2, 1], [2, 2], [2, 3]]
[64, 5, [1, 2], [1, 3], [0, 3]]
[64, 6, [0, 4], [0, 5], [1, 5]]
[65, 1, [1, 5], [2, 5], [2, 4]]
[65, 2, [0, 0], [0, 1], [1, 1]]
[65, 3, [1, 0], [2, 0], [2, 1]]
[65, 4, [0, 2], [0, 3], [1, 3]]
[65, 5, [1, 2], [2, 2], [2, 3]]
[65, 6, [0, 4], [1, 4], [0, 5]]
[66, 1, [1, 4], [1, 5], [2, 5]]
[66, 2, [0, 0], [1, 0], [1, 1]]
[66, 3, [2, 0], [2, 1], [2, 2]]
[66, 4, [0, 1], [0, 2], [1, 2]]
[66, 5, [0, 3], [0, 4], [0, 5]]
[66, 6, [1, 3], [2, 3], [2, 4]]
[67, 1, [2, 3], [2, 4], [2, 5]]
[67, 2, [0, 0], [1, 0], [2, 0]]
[67, 3, [0, 1], [0, 2], [1, 2]]
[67, 4, [1, 1], [2, 1], [2, 2]]
[67, 5, [0, 3], [0, 4], [0, 5]]
[67, 6, [1, 3], [1, 4], [1, 5]]
[68, 1, [0, 4], [0, 5], [1, 5]]
[68, 2, [1, 0], [0, 0], [0, 1]]
[68, 3, [2, 0], [2, 1], [2, 2]]
[68, 4, [1, 1], [1, 2], [0, 2]]
[68, 5, [0, 3], [1, 3], [1, 4]]
[68, 6, [2, 3], [2, 4], [2, 5]]
[69, 1, [0, 5], [1, 5], [2, 5]]
[69, 2, [0, 0], [1, 0], [2, 0]]
[69, 3, [0, 1], [1, 1], [2, 1]]
[69, 4, [0, 2], [1, 2], [2, 2]]
[69, 5, [0, 3], [0, 4], [1, 4]]
[69, 6, [1, 3], [2, 3], [2, 4]]
[70, 1, [0, 5], [1, 5], [2, 5]]
[70, 2, [0, 0], [1, 0], [2, 0]]
[70, 3, [0, 1], [0, 2], [0, 3]]
[70, 4, [1, 1], [1, 2], [1, 3]]
[70, 5, [2, 1], [2, 2], [2, 3]]
[70, 6, [0, 4], [1, 4], [2, 4]]
[71, 1, [2, 4], [2, 5], [1, 5]]
[71, 2, [0, 0], [0, 1], [1, 1]]
[71, 3, [1, 0], [2, 0], [2, 1]]
[71, 4, [1, 2], [0, 2], [0, 3]]
[71, 5, [2, 2], [2, 3], [1, 3]]
[71, 6, [1, 4], [0, 4], [0, 5]]
[72, 1, [0, 5], [1, 5], [2, 5]]
[72, 2, [0, 0], [0, 1], [0, 2]]
[72, 3, [1, 0], [2, 0], [2, 1]]
[72, 4, [1, 1], [1, 2], [2, 2]]
[72, 5, [0, 3], [0, 4], [1, 4]]
[72, 6, [1, 3], [2, 3], [2, 4]]
[73, 1, [0, 5], [1, 5], [2, 5]]
[73, 2, [0, 0], [0, 1], [0, 2]]
[73, 3, [1, 0], [2, 0], [1, 1]]
[73, 4, [2, 1], [2, 2], [2, 3]]
[73, 5, [1, 2], [1, 3], [0, 3]]
[73, 6, [0, 4], [1, 4], [2, 4]]
[74, 1, [0, 5], [1, 5], [2, 5]]
[74, 2, [0, 0], [1, 0], [2, 0]]
[74, 3, [1, 1], [0, 1], [0, 2]]
[74, 4, [2, 1], [2, 2], [1, 2]]
[74, 5, [1, 3], [2, 3], [2, 4]]
[74, 6, [1, 4], [0, 4], [0, 3]]
[75, 1, [0, 5], [1, 5], [2, 5]]
[75, 2, [0, 0], [1, 0], [2, 0]]
[75, 3, [0, 1], [1, 1], [2, 1]]
[75, 4, [0, 2], [0, 3], [0, 4]]
[75, 5, [1, 2], [2, 2], [2, 3]]
[75, 6, [1, 3], [1, 4], [2, 4]]
[76, 1, [0, 5], [1, 5], [2, 5]]
[76, 2, [0, 0], [1, 0], [2, 0]]
[76, 3, [1, 1], [1, 2], [2, 1]]
[76, 4, [0, 1], [0, 2], [0, 3]]
[76, 5, [2, 2], [2, 3], [2, 4]]
[76, 6, [1, 3], [1, 4], [0, 4]]
[77, 1, [0, 5], [1, 5], [2, 5]]
[77, 2, [0, 0], [1, 0], [0, 1]]
[77, 3, [1, 1], [2, 1], [2, 0]]
[77, 4, [0, 2], [0, 3], [0, 4]]
[77, 5, [1, 2], [2, 2], [2, 3]]
[77, 6, [1, 3], [1, 4], [2, 4]]
[78, 1, [1, 4], [1, 5], [2, 5]]
[78, 2, [0, 0], [0, 1], [0, 2]]
[78, 3, [1, 0], [2, 0], [2, 1]]
[78, 4, [1, 1], [1, 2], [2, 2]]
[78, 5, [0, 3], [0, 4], [0, 5]]
[78, 6, [1, 3], [2, 3], [2, 4]]
[79, 1, [0, 5], [1, 5], [2, 5]]
[79, 2, [0, 0], [0, 1], [1, 1]]
[79, 3, [1, 0], [2, 0], [2, 1]]
[79, 4, [0, 2], [1, 2], [2, 2]]
[79, 5, [0, 3], [0, 4], [1, 4]]
[79, 6, [1, 3], [2, 3], [2, 4]]
[80, 1, [1, 5], [2, 5], [2, 4]]
[80, 2, [0, 0], [1, 0], [2, 0]]
[80, 3, [0, 1], [1, 1], [2, 1]]
[80, 4, [0, 2], [1, 2], [0, 3]]
[80, 5, [1, 3], [2, 3], [2, 2]]
[80, 6, [0, 4], [1, 4], [0, 5]]
[81, 1, [1, 5], [2, 5], [2, 4]]
[81, 2, [0, 0], [1, 0], [2, 0]]
[81, 3, [0, 1], [0, 2], [0, 3]]
[81, 4, [1, 1], [2, 1], [1, 2]]
[81, 5, [1, 3], [2, 2], [2, 3]]
[81, 6, [0, 4], [1, 4], [0, 5]]
[82, 1, [0, 5], [1, 5], [2, 5]]
[82, 2, [0, 0], [0, 1], [1, 1]]
[82, 3, [1, 0], [2, 0], [2, 1]]
[82, 4, [0, 2], [0, 3], [0, 4]]
[82, 5, [1, 2], [1, 3], [1, 4]]
[82, 6, [2, 2], [2, 3], [2, 4]]
[83, 1, [2, 3], [2, 4], [2, 5]]
[83, 2, [0, 0], [0, 1], [0, 2]]
[83, 3, [1, 0], [2, 0], [2, 1]]
[83, 4, [1, 1], [1, 2], [2, 2]]
[83, 5, [0, 3], [0, 4], [0, 5]]
[83, 6, [1, 3], [1, 4], [1, 5]]
[84, 1, [1, 4], [1, 5], [2, 5]]
[84, 2, [0, 0], [1, 0], [2, 0]]
[84, 3, [0, 1], [1, 1], [0, 2]]
[84, 4, [1, 2], [2, 2], [2, 1]]
[84, 5, [0, 3], [0, 4], [0, 5]]
[84, 6, [1, 3], [2, 3], [2, 4]]
[85, 1, [0, 5], [1, 5], [1, 4]]
[85, 2, [0, 0], [1, 0], [0, 1]]
[85, 3, [1, 1], [2, 1], [2, 0]]
[85, 4, [0, 2], [0, 3], [0, 4]]
[85, 5, [1, 2], [1, 3], [2, 2]]
[85, 6, [2, 3], [2, 4], [2, 5]]
[86, 1, [0, 5], [1, 5], [2, 5]]
[86, 2, [0, 0], [1, 0], [2, 0]]
[86, 3, [0, 1], [1, 1], [2, 1]]
[86, 4, [0, 2], [1, 2], [2, 2]]
[86, 5, [0, 3], [0, 4], [1, 3]]
[86, 6, [1, 4], [2, 3], [2, 4]]
[87, 1, [2, 3], [2, 4], [2, 5]]
[87, 2, [0, 0], [1, 0], [2, 0]]
[87, 3, [0, 1], [1, 1], [2, 1]]
[87, 4, [0, 2], [1, 2], [2, 2]]
[87, 5, [0, 3], [0, 4], [0, 5]]
[87, 6, [1, 3], [1, 4], [1, 5]]
[88, 1, [2, 5], [2, 4], [1, 4]]
[88, 2, [1, 0], [0, 0], [0, 1]]
[88, 3, [2, 0], [2, 1], [1, 1]]
[88, 4, [0, 2], [0, 3], [1, 3]]
[88, 5, [2, 3], [2, 2], [1, 2]]
[88, 6, [0, 4], [0, 5], [1, 5]]
[89, 1, [0, 5], [1, 5], [2, 5]]
[89, 2, [0, 0], [1, 0], [0, 1]]
[89, 3, [2, 0], [2, 1], [2, 2]]
[89, 4, [1, 1], [1, 2], [0, 2]]
[89, 5, [1, 3], [0, 3], [0, 4]]
[89, 6, [1, 4], [2, 4], [2, 3]]
[90, 1, [0, 5], [1, 5], [2, 5]]
[90, 2, [0, 0], [1, 0], [1, 1]]
[90, 3, [2, 0], [2, 1], [2, 2]]
